annee,product_name,total_sales
2017,Canon Imageclass D680 Copier / Fax,223156.68
2017,Cubify CubeX 3D Printer Double Head Print,139199.42
2017,Plantronics Savi W720 Multi-Device Wireless Headset System,138158.43
2017,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,128929.26
2017,Tennsco Double-Tier Lockers,127721.44
2017,Samsung Galaxy Note 2,109955.38
2017,Ibico EPK-21 Electric Binding System,105839.44
2017,ImationÂ 16GB Mini TravelDrive USB 2.0Â Flash Drive,102194.45
2017,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",98846.22
2017,GBC DocuBind TL300 Electric Binding System,96874.92
