annee,product_name,total_sales
2014,Lexmark MX611dhe Monochrome Laser Printer,481437.05
2014,SAFCO Arco Folding Chair,196433.44
2014,Chromcraft Rectangular Conference Tables,112607.88
2014,GBC DocuBind TL300 Electric Binding System,92389.97
2014,Hewlett Packard LaserJet 3310 Copier,89998.5
2014,"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back",88515.48
2014,ClearOne CHATAttach 160 -Â speaker phone,85310.71
2014,Standard Rollaway File with Lock,83247.78
2014,Ibico Ibimaster 300 Manual Binding System,78308.12
2014,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,77276.04
